chembl_id	accession	pref_name	organism	l1	l2	l3	l4	l5	l6	l7	l8
CHEMBL2366577	A3EZJ4	Ecdysone receptor	Bemisia tabaci	Transcription factor	Nuclear receptor						
CHEMBL2366577	A3EZJ5	Ecdysone receptor	Bemisia tabaci	Transcription factor	Nuclear receptor						
CHEMBL2366586	A3EZJ9	Ecdysone receptor	Myzus persicae	Transcription factor	Nuclear receptor						
CHEMBL2366586	A3EZK0	Ecdysone receptor	Myzus persicae	Transcription factor	Nuclear receptor						
CHEMBL2233619	A3FFR5	Beta-lactamase SHV-95	Citrobacter freundii	Unclassified protein							
CHEMBL4082	A3KMY8	Beta-glucuronidase	Bos taurus	Enzyme							
CHEMBL2366405	A3QR02	Esterase	Chilo suppressalis	Unclassified protein							
CHEMBL5304	A3RGC1	Vitamin D3 receptor	Sus scrofa	Unclassified protein							
CHEMBL1075062	A3RLP8	Thymidine kinase	Macacine herpesvirus 1	Unclassified protein							
CHEMBL2364187	A4D0S4	Laminin	Homo sapiens	Structural protein							
CHEMBL3638343	A4D1B5	Gamma-secretase-activating protein	Homo sapiens	Unclassified protein							
CHEMBL1287595	A4GRB7	GOB-1 metallo-beta-lactamase	Elizabethkingia meningoseptica	Unclassified protein							
CHEMBL2189154	A4GTP0	Galectin-3	Gallus gallus	Unclassified protein							
CHEMBL3350223	A4GXC7	Nicotinic acetylcholine receptor	Drosophila melanogaster	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL1944501	A4HSF7	Trypanothione reductase	Leishmania infantum	Enzyme							
CHEMBL2304401	A4IFJ5	Cytosolic phospholipase A2	Bos taurus	Unclassified protein							
CHEMBL1075063	A4KCT8	Gil1	Citrobacter gillenii	Unclassified protein							
CHEMBL2401604	A4Q9F0	Tubulin polyglutamylase TTLL7	Mus musculus	Enzyme							
CHEMBL1075055	A4XI97	Beta-galactosidase	Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903)	Enzyme							
CHEMBL5305	A4ZYU9	Beta-lactamase ACC-4	Escherichia coli	Unclassified protein							
CHEMBL4346	A5A0U0	Vasoactive intestinal peptide receptor	Gallus gallus	Membrane receptor	Family B G protein-coupled receptor	Peptide receptor (family B GPCR)	Vasoactive intestinal peptide receptor	Vasoactive intestinal peptide receptor			
CHEMBL5306	A5A4K8	Motilin receptor	Oryctolagus cuniculus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Motilin receptor			
CHEMBL5307	A5A4K9	Growth hormone secretagogue receptor type 1	Oryctolagus cuniculus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	GRP-related receptor			
CHEMBL1795104	A5A8K3	Endothelin receptor type A	Oryctolagus cuniculus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Endothelin receptor			
CHEMBL2366564	A5GZW8	Succinate-ubiquinone oxidoreductase	Sus scrofa	Unclassified protein							
CHEMBL5308	A5H8A5	Plasmid efflux fluoroquinolone	Escherichia coli	Unclassified protein							
CHEMBL5309	A5HJU3	CMT-type beta lactamase	Escherichia coli	Unclassified protein							
CHEMBL5344	A5HZZ9	Botulinum neurotoxin type A	Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A)	Enzyme							
CHEMBL1944500	A5JV95	Trypanothione reductase	Leishmania amazonensis	Unclassified protein							
CHEMBL2364701	A5LHX3	26S proteosome	Homo sapiens	Unclassified protein							
CHEMBL6062	A5U6Z7	DNA-binding protein hupB	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	Unclassified protein							
CHEMBL2094132	A5X5Y0	Serotonin 3 (5-HT3) receptor	Homo sapiens	Ion channel	Ligand-gated ion channel	5HT3 receptor					
CHEMBL2096904	A5X5Y0	Serotonin (5-HT) receptor	Homo sapiens	Ion channel	Ligand-gated ion channel	5HT3 receptor					
CHEMBL2417349	A5Z1V5	Cell division protein FtsZ	Bacillus subtilis	Unclassified protein							
CHEMBL1667684	A5Z252	Neuraminidase	Influenza A virus	Unclassified protein							
CHEMBL5345	A6BMM6	DNA polymerase	Human herpesvirus 5	Enzyme							
CHEMBL3188	A6H5Y3	Methionine synthase	Mus musculus	Enzyme							
CHEMBL2364188	A6NMZ7	Collagen	Homo sapiens	Structural protein							
CHEMBL2366406	A6QP37	PDE7B protein	Bos taurus	Enzyme	Phosphodiesterase	Phosphodiesterase 7	Phosphodiesterase 7B				
CHEMBL3091267	A6QR73	Protein Gpr39	Rattus norvegicus	Unclassified protein							
CHEMBL1909043	A6XA80	Leukotriene C4 synthase	Cavia porcellus	Enzyme							
CHEMBL1944499	A6YCJ1	Astrosclerin-3	Astrosclera willeyana	Unclassified protein							
CHEMBL5436	A7L861	Squalene epoxidase	Sus scrofa	Unclassified protein							
CHEMBL1287609	A7LB47	Catechol 2,3-dioxygenase	Stenotrophomonas maltophilia	Unclassified protein							
CHEMBL3562181	A7WP95	Class A carbapenemase	Enterobacter cloacae	Enzyme	Hydrolase						
CHEMBL2366523	A7XBP7	Acetolactate synthase	Lolium rigidum	Enzyme	Transferase						
CHEMBL5437	A8DS27	Class A carbapenemase KPC-2	Escherichia coli	Unclassified protein							
CHEMBL2109242	A8MPY1	GABA-C receptor	Homo sapiens	Ion channel	Ligand-gated ion channel	GABA-A receptor					
CHEMBL3608197	A8PUY1	LIP1, secretory lipase (Family 3)	Malassezia globosa (strain ATCC MYA-4612 / CBS 7966)(Dandruff-associated fungus)	Unclassified protein							
CHEMBL5438	A8QUY6	IMP-19	Aeromonas caviae	Unclassified protein							
CHEMBL5439	A8RR46	Beta-lactamase	Bacillus clausii	Unclassified protein							
CHEMBL2364188	A8TX70	Collagen	Homo sapiens	Structural protein							
CHEMBL5440	A9JQL9	Dehydrosqualene synthase	Staphylococcus aureus	Enzyme							
CHEMBL6053	A9LM97	Class A carbapenemase	Klebsiella pneumoniae	Unclassified protein							
CHEMBL3600276	A9QW74	P2X purinoceptor	Cavia porcellus	Ion channel	Ligand-gated ion channel	P2X receptor					
CHEMBL1932900	A9X4R8	Matrix metalloproteinase-12	Canis familiaris	Unclassified protein							
CHEMBL2366408	A9XFY4	Nicotinic acetylcholine receptor alpha 5 subunit	Musca domestica	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor					
CHEMBL5441	B0BL08	Dihydrofolate reductase	Escherichia coli	Unclassified protein							
CHEMBL2021746	B0BNF9	Hydroxyacid oxidase 1	Rattus norvegicus	Unclassified protein							
CHEMBL5471	B0FL73	Beta-1 adrenergic receptor	Cavia porcellus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Adrenergic receptor			
CHEMBL3388	B0LPN4	Ryanodine receptor 2	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ryanodine receptor					
CHEMBL1275218	B0M1D1	Okadaic acid binding protein 2.3	Halichondria okadai	Unclassified protein							
CHEMBL2095943	B1WBY8	Histone deacetylase	Rattus norvegicus	Enzyme							
CHEMBL1909485	B2LUN4	Glycogen synthase kinase 3 beta	Sus scrofa	Unclassified protein							
CHEMBL2366565	B2LUN4	Glycogen synthase kinase-3	Sus scrofa	Unclassified protein							
CHEMBL2774	B2RQC6	Dihydroorotase	Mus musculus	Enzyme							
CHEMBL2073683	B2RX12	Canalicular multispecific organic anion transporter 2	Mus musculus	Unclassified protein							
CHEMBL1293226	B2RXH2	Lysine-specific demethylase 4D-like	Homo sapiens	Epigenetic regulator	Eraser	Lysine demethylase	Jumonji domain-containing				
CHEMBL1667700	B2ZTR6	Beta-lactamase ADC-33	Acinetobacter baumannii	Unclassified protein							
CHEMBL2366409	B3SST5	AChE2	Bemisia tabaci	Unclassified protein							
CHEMBL2366410	B3TNN2	Carboxylesterase	Loxostege sticticalis	Enzyme	Hydrolase						
CHEMBL3091263	B3VTJ2	GMP-stimulated 3',5'-cyclic nucleotide phosphodiesterase	Macaca mulatta	Enzyme							
CHEMBL2311239	B4EB35	D-beta-D-heptose 7-phosphate kinase	Burkholderia cepacia (strain J2315 / LMG 16656) (Burkholderiacenocepacia (strain J2315))	Unclassified protein							
CHEMBL2366411	B4FS76	Delta(14)-sterol reductase	Zea mays	Unclassified protein							
CHEMBL3559640	B4URE7	Hemagglutinin	Influenza A virus	Unclassified protein							
CHEMBL6135	B4URF0	Neuraminidase	Influenza A virus	Unclassified protein							
CHEMBL2163170	B5ATN6	UDP-3-O-acyl-N-acetylglucosamine deacetylase	Pseudomonas aeruginosa	Unclassified protein							
CHEMBL2096663	B5DFI9	Pyruvate dehydrogenase kinase	Rattus norvegicus	Enzyme	Kinase	Protein Kinase	Atypical protein kinase group	Atypical protein kinase PDHK subfamily			
CHEMBL1075028	B5SU02	Alpha carbonic anhydrase	Stylophora pistillata	Unclassified protein							
CHEMBL1667666	B5THE3	Sucrase-isomaltase	Mus musculus	Enzyme							
CHEMBL2366412	B5U2Z5	Phenol oxidase	Plutella xylostella	Unclassified protein							
CHEMBL1921663	B6F061	Melanin-concentrating hormone receptor 1	Macaca fascicularis	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	MCH receptor			
CHEMBL2366413	B6TK44	Cycloeucalenol cycloisomerase	Zea mays	Unclassified protein							
CHEMBL3559641	B7UJP3	1-deoxy-D-xylulose-5-phosphate synthase	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	Unclassified protein							
CHEMBL2566	B7X946	Melatonin receptor 1B	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine-derivative receptor (family A GPCR)	Melatonin receptor			
CHEMBL1075186	B8PY99	CXC chemokine receptor 3	Macaca mulatta	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Chemokine receptor	CXC chemokine receptor			
CHEMBL5634	B8Q4Z9	Corticotropin releasing hormone receptor 2	Sus scrofa	Membrane receptor	Family B G protein-coupled receptor	Peptide receptor (family B GPCR)	Corticotropin releasing factor receptor	Corticotropin releasing factor receptor			
CHEMBL1641339	B8R6A5	PenB class A beta-lactamase	Burkholderia cenocepacia	Unclassified protein							
CHEMBL2366576	B8RG26	Ecdysone receptor	Anthonomus grandis	Transcription factor	Nuclear receptor						
CHEMBL2146352	B9UM26	G-protein coupled receptor 81	Canis familiaris	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Carboxylic acid receptor	Hydroxycarboxylic acid receptor			
CHEMBL2146351	B9UM29	G-protein coupled receptor 81	Macaca mulatta	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Carboxylic acid receptor	Hydroxycarboxylic acid receptor			
CHEMBL3395	B9V8S1	Glutamate receptor ionotropic kainate 2	Xenopus laevis	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	Kainate receptor				
CHEMBL5472	B9W4V6	Aromatic peroxygenase	Agrocybe aegerita	Enzyme							
CHEMBL1293271	B9W6M3	Serine/threonine-protein phosphatase	Candida dubliniensis (strain CD36 / CBS 7987 / NCPF 3949 / NRRLY-17841) (Yeast)	Enzyme							
CHEMBL3392945	C0HJB3	Alpha-mannosidase	Canavalia ensiformis	Unclassified protein							
