chembl_id	accession	pref_name	organism	l1	l2	l3	l4	l5	l6	l7	l8
CHEMBL2021757	P19205	Acylamino-acid-releasing enzyme	Sus scrofa	Enzyme							
CHEMBL2244	P19217	Estrogen sulfotransferase	Bos taurus	Enzyme							
CHEMBL1075308	P19221	Thrombin	Mus musculus	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily			
CHEMBL1743316	P19224	UDP-glucuronosyltransferase 1-6	Homo sapiens	Enzyme							
CHEMBL1817	P19235	Erythropoietin receptor	Homo sapiens	Membrane receptor							
CHEMBL3790	P19256	Lymphocyte function-associated antigen 3, CD58	Homo sapiens	Other membrane protein							
CHEMBL3735	P19320	Vascular cell adhesion protein 1	Homo sapiens	Adhesion							
CHEMBL1163113	P19324	Serpin H1	Mus musculus	Unclassified protein							
CHEMBL273	P19327	Serotonin 1a (5-HT1a) receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Serotonin receptor			
CHEMBL2097171	P19327	Serotonin 1a (5-HT1a) receptor/Adrenergic receptor alpha-1	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Serotonin receptor			
CHEMBL2094123	P19327	Serotonin (5-HT) receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Serotonin receptor			
CHEMBL2095159	P19327	Serotonin 1 (5-HT1) receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Serotonin receptor			
CHEMBL266	P19328	Alpha-2b adrenergic receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Adrenergic receptor			
CHEMBL2093864	P19328	Adrenergic receptor alpha-2	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Adrenergic receptor			
CHEMBL2094111	P19328	Adrenergic receptor alpha	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Adrenergic receptor			
CHEMBL1075117	P19332	Microtubule-associated protein tau	Rattus norvegicus	Unclassified protein							
CHEMBL3286066	P19357	Solute carrier family 2, facilitated glucose transporter member 4	Rattus norvegicus	Transporter	Electrochemical transporter	SLC superfamily of solute carriers	SLC02 family of hexose and sugar alcohol transporters				
CHEMBL2688	P19367	Hexokinase type I	Homo sapiens	Enzyme							
CHEMBL2363065	P19404	Mitochondrial complex I (NADH dehydrogenase)	Homo sapiens	Enzyme	Oxidoreductase						
CHEMBL4453	P19419	ETS domain protein Elk-1	Homo sapiens	Transcription factor							
CHEMBL2095202	P19429	Troponin, cardiac muscle	Homo sapiens	Unclassified protein							
CHEMBL3378	P19438	Tumor necrosis factor receptor R1	Homo sapiens	Membrane receptor							
CHEMBL5696	P19440	Gamma-glutamyltranspeptidase 1	Homo sapiens	Enzyme							
CHEMBL2366469	P19468	Glutamate--cysteine ligase catalytic subunit	Rattus norvegicus	Enzyme	Ligase						
CHEMBL3753	P19490	Glutamate receptor ionotropic, AMPA 1	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL2093871	P19490	Glutamate receptor ionotropic, AMPA	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL2096669	P19490	Glutamate receptors; NMDA/AMPA	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL3503	P19491	Glutamate receptor ionotropic, AMPA 2	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL2093871	P19491	Glutamate receptor ionotropic, AMPA	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL2096669	P19491	Glutamate receptors; NMDA/AMPA	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL3504	P19492	Glutamate receptor ionotropic, AMPA 3	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL2093871	P19492	Glutamate receptor ionotropic, AMPA	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL2096669	P19492	Glutamate receptors; NMDA/AMPA	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL3505	P19493	Glutamate receptor ionotropic, AMPA 4	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL2093871	P19493	Glutamate receptor ionotropic, AMPA	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL2096669	P19493	Glutamate receptors; NMDA/AMPA	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Ionotropic glutamate receptor	AMPA receptor				
CHEMBL5785	P19525	Interferon-induced, double-stranded RNA-activated protein kinase	Homo sapiens	Enzyme	Kinase	Protein Kinase	Other protein kinase group	Other protein kinase PEK family	Other protein kinase PKR		
CHEMBL2396504	P19550	Envelope glycoprotein gp160	Human immunodeficiency virus type 1 group M subtype B (isolate SF162)(HIV-1)	Unclassified protein							
CHEMBL5786	P19602	Leukotriene A-4 hydrolase	Cavia porcellus	Enzyme							
CHEMBL6107	P19621	Neprilysin	Sus scrofa	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family			
CHEMBL4232	P19623	Spermidine synthase	Homo sapiens	Enzyme							
CHEMBL2781	P19634	Sodium/hydrogen exchanger 1	Homo sapiens	Transporter	Electrochemical transporter	SLC superfamily of solute carriers	SLC09 family of sodium/hydrogen exchangers				
CHEMBL2993	P19643	Monoamine oxidase B	Rattus norvegicus	Enzyme							
CHEMBL2095196	P19643	Monoamine oxidase	Rattus norvegicus	Enzyme							
CHEMBL5958	P19652	Alpha-1-acid glycoprotein 2	Homo sapiens	Unclassified protein							
CHEMBL3549	P19754	Adenylate cyclase type I	Bos taurus	Enzyme							
CHEMBL4070	P19784	Casein kinase II alpha (prime)	Homo sapiens	Enzyme	Kinase	Protein Kinase	Other protein kinase group	Other protein kinase CK2 family			
CHEMBL2095191	P19784	Casein kinase II	Homo sapiens	Enzyme	Kinase	Protein Kinase	Other protein kinase group	Other protein kinase CK2 family			
CHEMBL3065	P19785	Estrogen receptor alpha	Mus musculus	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 3	Nuclear hormone receptor subfamily 3 group A	Nuclear hormone receptor subfamily 3 group A member 1			
CHEMBL2094113	P19785	Estrogen receptor	Mus musculus	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 3	Nuclear hormone receptor subfamily 3 group A	Nuclear hormone receptor subfamily 3 group A member 1			
CHEMBL2061	P19793	Retinoid X receptor alpha	Homo sapiens	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 2	Nuclear hormone receptor subfamily 2 group B	Nuclear hormone receptor subfamily 2 group B member 1			
CHEMBL2111394	P19793	RXR alpha/PPAR gamma	Homo sapiens	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 2	Nuclear hormone receptor subfamily 2 group B	Nuclear hormone receptor subfamily 2 group B member 1			
CHEMBL2363070	P19793	Retinoid X receptor	Homo sapiens	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 2	Nuclear hormone receptor subfamily 2 group B	Nuclear hormone receptor subfamily 2 group B member 1			
CHEMBL2363071	P19793	Retinoid receptor	Homo sapiens	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 2	Nuclear hormone receptor subfamily 2 group B	Nuclear hormone receptor subfamily 2 group B member 1			
CHEMBL2118	P19801	Diamine oxidase	Homo sapiens	Enzyme							
CHEMBL3564	P19821	Taq polymerase 1	Thermus aquaticus	Enzyme							
CHEMBL3219	P19835	Cholesterol esterase	Homo sapiens	Enzyme							
CHEMBL3251	P19838	Nuclear factor NF-kappa-B p105 subunit	Homo sapiens	Other cytosolic protein							
CHEMBL2094258	P19838	Nuclear factor NF-kappa-B complex	Homo sapiens	Other cytosolic protein							
CHEMBL3251	P19838	Nuclear factor NF-kappa-B p105 subunit	Homo sapiens	Transcription factor							
CHEMBL2094258	P19838	Nuclear factor NF-kappa-B complex	Homo sapiens	Transcription factor							
CHEMBL3286076	P19875	C-X-C motif chemokine 2	Homo sapiens	Secreted protein							
CHEMBL1907607	P19969	GABA-A receptor; anion channel	Rattus norvegicus	Ion channel	Ligand-gated ion channel	GABA-A receptor					
CHEMBL300	P19969	GABA receptor alpha-5 subunit	Rattus norvegicus	Ion channel	Ligand-gated ion channel	GABA-A receptor					
CHEMBL2096683	P19969	Benzodiazepine receptors; peripheral & central	Rattus norvegicus	Ion channel	Ligand-gated ion channel	GABA-A receptor					
CHEMBL2111374	P19969	GABA A receptor alpha-5/beta-3/gamma-2	Rattus norvegicus	Ion channel	Ligand-gated ion channel	GABA-A receptor					
CHEMBL3106	P19971	Thymidine phosphorylase	Homo sapiens	Enzyme							
CHEMBL3243917	P19992	3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase	Streptomyces exfoliatus	Enzyme							
CHEMBL2111355	P20052	Pho80/Pho85	Saccharomyces cerevisiae S288c	Unclassified protein							
CHEMBL2111410	P20052	Pho80/Pho85/Pho81 complex	Saccharomyces cerevisiae S288c	Unclassified protein							
CHEMBL2176811	P20059	Hemopexin	Rattus norvegicus	Unclassified protein							
CHEMBL2363076	P20083	Topoisomerase IV	Bacteria	Enzyme	Isomerase						
CHEMBL3329081	P20083	DNA topoisomerase 4 subunit B	Escherichia coli K-12	Enzyme	Isomerase						
CHEMBL1842	P20138	Myeloid cell surface antigen CD33	Homo sapiens	Surface antigen							
CHEMBL2136	P20142	Pepsinogen C	Homo sapiens	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily			
CHEMBL2442	P20151	Kallikrein 2	Homo sapiens	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily			
CHEMBL2366581	P20153	Ecdysone receptor	Drosophila melanogaster	Transcription factor	Nuclear receptor						
CHEMBL1907607	P20236	GABA-A receptor; anion channel	Rattus norvegicus	Ion channel	Ligand-gated ion channel	GABA-A receptor					
CHEMBL328	P20236	GABA receptor alpha-3 subunit	Rattus norvegicus	Ion channel	Ligand-gated ion channel	GABA-A receptor					
CHEMBL2096683	P20236	Benzodiazepine receptors; peripheral & central	Rattus norvegicus	Ion channel	Ligand-gated ion channel	GABA-A receptor					
CHEMBL2111343	P20236	GABA A receptor alpha-3/beta-2/gamma-2	Rattus norvegicus	Ion channel	Ligand-gated ion channel	GABA-A receptor					
CHEMBL2094107	P20237	GABA-A receptor; anion channel	Bos taurus	Ion channel	Ligand-gated ion channel	GABA-A receptor					
CHEMBL2582	P20248	Cyclin A2	Homo sapiens	Other cytosolic protein							
CHEMBL2094128	P20248	Cyclin-dependent kinase 2/cyclin A	Homo sapiens	Other cytosolic protein							
CHEMBL3038467	P20248	CDK1/Cyclin A	Homo sapiens	Other cytosolic protein							
CHEMBL3038469	P20248	CDK2/Cyclin A	Homo sapiens	Other cytosolic protein							
CHEMBL5243	P20264	Homeobox protein Brn-1	Homo sapiens	Transcription factor							
CHEMBL4189	P20265	Homeobox protein Brn-2	Homo sapiens	Transcription factor							
CHEMBL3571	P20272	Cannabinoid CB1 receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Cannabinoid receptor			
CHEMBL2111385	P20272	Cannabinoid receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Cannabinoid receptor			
CHEMBL3218	P20273	CD22	Homo sapiens	Adhesion							
CHEMBL3218	P20273	CD22	Homo sapiens	Surface antigen							
CHEMBL3218	P20273	CD22	Homo sapiens	Membrane receptor							
CHEMBL3998	P20288	Dopamine D2 receptor	Bos taurus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Dopamine receptor			
CHEMBL2096970	P20288	Dopamine receptor	Bos taurus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Dopamine receptor			
CHEMBL1921661	P20291	Arachidonate 5-lipoxygenase-activating protein	Rattus norvegicus	Unclassified protein							
CHEMBL4550	P20292	5-lipoxygenase activating protein	Homo sapiens	Other cytosolic protein							
CHEMBL2111402	P20292	5-lipoxygenase/FLAP	Homo sapiens	Other cytosolic protein							
CHEMBL245	P20309	Muscarinic acetylcholine receptor M3	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Acetylcholine receptor			
CHEMBL2094109	P20309	Muscarinic acetylcholine receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Acetylcholine receptor			
CHEMBL2095187	P20309	Muscarinic acetylcholine receptors; M2 & M3	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Acetylcholine receptor			
CHEMBL2111418	P20309	Muscarinic acetylcholine receptor M1 and M3	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Acetylcholine receptor			
CHEMBL1250356	P20333	Tumor necrosis factor receptor superfamily member 1B	Homo sapiens	Unclassified protein							
CHEMBL5787	P20352	Tissue factor	Mus musculus	Unclassified protein							
CHEMBL1961783	P20393	Nuclear receptor subfamily 1 group D member 1	Homo sapiens	Transcription factor	Nuclear receptor	Nuclear hormone receptor subfamily 1	Nuclear hormone receptor subfamily 1 group D	Nuclear hormone receptor subfamily 1 group D member 1			
CHEMBL4288	P20395	Follicle stimulating hormone receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Glycohormone receptor	Glycohormone receptor			
CHEMBL2371	P20417	Protein-tyrosine phosphatase 1B	Rattus norvegicus	Enzyme	Phosphatase	Protein Phosphatase	Tyrosine protein phosphatase				
CHEMBL2094110	P20420	Neuronal acetylcholine receptor	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor alpha subunit				
CHEMBL2567	P20444	Protein kinase C alpha	Mus musculus	Enzyme	Kinase	Protein Kinase	AGC protein kinase group	AGC protein kinase PKC family	AGC protein kinase PKC alpha subfamily		
CHEMBL4505	P20456	Inositol-1(or 4)-monophosphatase 1	Bos taurus	Enzyme							
CHEMBL2111337	P20594	Atrial natriuretic peptide receptor	Homo sapiens	Enzyme	Lyase	Guanylate cyclase	Receptor guanylate cyclase				
CHEMBL4208	P20618	Proteasome component C5	Homo sapiens	Enzyme	Protease	Threonine protease	Threonine protease PBT clan	Threonine protease T1A subfamily			
CHEMBL2364701	P20618	26S proteosome	Homo sapiens	Enzyme	Protease	Threonine protease	Threonine protease PBT clan	Threonine protease T1A subfamily			
CHEMBL5788	P20645	Cation-dependent mannose-6-phosphate receptor	Homo sapiens	Unclassified protein							
CHEMBL2095173	P20648	Potassium-transporting ATPase	Homo sapiens	Transporter	Primary active transporter	P-type ATPase	Hydrogen potassium ATPase				
CHEMBL2095173	P20648	Potassium-transporting ATPase	Homo sapiens	Enzyme	Hydrolase						
CHEMBL1803	P20701	Leukocyte adhesion glycoprotein LFA-1 alpha	Homo sapiens	Adhesion							
CHEMBL2096661	P20701	Intercellular adhesion molecule (ICAM-1), Integrin alpha-L/beta-2	Homo sapiens	Adhesion							
CHEMBL2364172	P20701	Integrin alpha-L/beta-2 (LFA-1)	Homo sapiens	Adhesion							
CHEMBL1803	P20701	Leukocyte adhesion glycoprotein LFA-1 alpha	Homo sapiens	Membrane receptor							
CHEMBL2096661	P20701	Intercellular adhesion molecule (ICAM-1), Integrin alpha-L/beta-2	Homo sapiens	Membrane receptor							
CHEMBL2364172	P20701	Integrin alpha-L/beta-2 (LFA-1)	Homo sapiens	Membrane receptor							
CHEMBL1843	P20711	DOPA decarboxylase	Homo sapiens	Enzyme	Lyase						
CHEMBL3392921	P20781	Glycine receptor	Rattus norvegicus	Ion channel	Ligand-gated ion channel	Glycine receptor					
CHEMBL3137264	P20782	Nicotinic acetylcholine receptor alpha1/beta1/epsilon/delta	Mus musculus	Ion channel	Ligand-gated ion channel	Nicotinic acetylcholine receptor	Nicotinic acetylcholine receptor epsilon subunit				
CHEMBL2111344	P20786	Platelet-derived growth factor receptor (PDGFr)	Rattus norvegicus	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase PDGFR family			
CHEMBL3027	P20789	Neurotensin receptor 1	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Neurotensin receptor			
CHEMBL1163106	P20794	Serine/threonine-protein kinase MAK	Homo sapiens	Enzyme	Kinase	Protein Kinase	CMGC protein kinase group	CMGC protein kinase RCK family	CMGC protein kinase MAK		
CHEMBL4729	P20813	Cytochrome P450 2B6	Homo sapiens	Enzyme	Cytochrome P450	Cytochrome P450 family 2	Cytochrome P450 family 2B	Cytochrome P450 2B6			
CHEMBL3509596	P20814	Cytochrome P450 2C13, male-specific	Rattus norvegicus	Enzyme	Cytochrome P450	Cytochrome P450 family 2	Cytochrome P450 family 2C				
CHEMBL3019	P20815	Cytochrome P450 3A5	Homo sapiens	Enzyme	Cytochrome P450	Cytochrome P450 family 3	Cytochrome P450 family 3A	Cytochrome P450 3A5			
CHEMBL2111472	P20815	Cytochrome P450 3A4/3A5	Homo sapiens	Enzyme	Cytochrome P450	Cytochrome P450 family 3	Cytochrome P450 family 3A	Cytochrome P450 3A5			
CHEMBL2364675	P20815	Cytochrome P450 3A	Homo sapiens	Enzyme	Cytochrome P450	Cytochrome P450 family 3	Cytochrome P450 family 3A	Cytochrome P450 3A5			
CHEMBL3038482	P20831	DNA gyrase	Staphylococcus aureus	Enzyme							
CHEMBL1822	P20839	Inosine-5'-monophosphate dehydrogenase 1	Homo sapiens	Enzyme	Oxidoreductase						
CHEMBL2111369	P20839	Inosine-5'-monophosphate dehydrogenase (IMPDH)	Homo sapiens	Enzyme	Oxidoreductase						
CHEMBL4085	P20852	Cytochrome P450 2A5	Mus musculus	Enzyme	Cytochrome P450	Cytochrome P450 family 2	Cytochrome P450 family 2A	Cytochrome P450 2A5			
CHEMBL2364188	P20908	Collagen	Homo sapiens	Structural protein							
CHEMBL5807	P20916	Myelin-associated glycoprotein	Homo sapiens	Unclassified protein							
CHEMBL1250416	P20917	Myelin-associated glycoprotein	Mus musculus	Unclassified protein							
CHEMBL1075299	P20918	Plasminogen	Mus musculus	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily			
CHEMBL2155	P20961	Plasminogen activator inhibitor-1	Rattus norvegicus	Secreted protein							
CHEMBL5808	P21127	PITSLRE serine/threonine-protein kinase CDC2L1	Homo sapiens	Enzyme	Kinase	Protein Kinase	CMGC protein kinase group	CMGC protein kinase CDK family	CMGC protein kinase PITSLRE subfamily		
CHEMBL3559691	P21127	Cyclin-dependent kinase	Homo sapiens	Enzyme	Kinase	Protein Kinase	CMGC protein kinase group	CMGC protein kinase CDK family	CMGC protein kinase PITSLRE subfamily		
CHEMBL2852	P21139	Alpha-mannosidase 2C1	Rattus norvegicus	Enzyme							
CHEMBL3269	P21217	Galactoside 3(4)-L-fucosyltransferase	Homo sapiens	Enzyme							
CHEMBL2757	P21236	rRNA adenine N-6-methyltransferase	Streptococcus pneumoniae	Enzyme							
CHEMBL2242	P21266	Glutathione S-transferase Mu 3	Homo sapiens	Enzyme							
CHEMBL2384894	P21275	Bone morphogenetic protein 4	Mus musculus	Unclassified protein							
CHEMBL5641	P21281	V-type proton ATPase subunit B, brain isoform	Homo sapiens	Enzyme	Hydrolase						
CHEMBL5641	P21281	V-type proton ATPase subunit B, brain isoform	Homo sapiens	Transporter	Primary active transporter	F-type and V-type ATPases	V-type ATPase				
CHEMBL3358	P21396	Monoamine oxidase A	Rattus norvegicus	Enzyme							
CHEMBL2095196	P21396	Monoamine oxidase	Rattus norvegicus	Enzyme							
CHEMBL1951	P21397	Monoamine oxidase A	Homo sapiens	Enzyme	Oxidoreductase						
CHEMBL2095205	P21397	Monoamine oxidase	Homo sapiens	Enzyme	Oxidoreductase						
CHEMBL3254	P21398	Monoamine oxidase A	Bos taurus	Enzyme							
CHEMBL2111399	P21398	Monoamine oxidase	Bos taurus	Enzyme							
CHEMBL1743129	P21439	Multidrug resistance protein 3	Homo sapiens	Transporter	Primary active transporter	ATP-binding cassette	ABCB subfamily				
CHEMBL2573	P21447	P-glycoprotein 3	Mus musculus	Transporter	Primary active transporter	ATP-binding cassette	ABCB subfamily				
CHEMBL2111404	P21447	P-glycoprotein 1 and 3 (MDR1a/MDR1b)	Mus musculus	Transporter	Primary active transporter	ATP-binding cassette	ABCB subfamily				
CHEMBL2806	P21450	Endothelin receptor ET-A	Bos taurus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Endothelin receptor			
CHEMBL4631	P21451	Endothelin receptor ET-B	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Endothelin receptor			
CHEMBL2111453	P21451	Endothelin receptor	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Endothelin receptor			
CHEMBL2327	P21452	Neurokinin 2 receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Neurokinin receptor			
CHEMBL4333	P21453	Sphingosine 1-phosphate receptor Edg-1	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	EDG receptor			
CHEMBL2363041	P21453	Sphingosine 1-phosphate receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	EDG receptor			
CHEMBL3359	P21462	Formyl peptide receptor 1	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	N-formyl methionyl peptide receptor	N-formyl methionyl peptide receptor			
CHEMBL3038479	P21462	fMet-Leu-Phe receptor 1/2	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	N-formyl methionyl peptide receptor	N-formyl methionyl peptide receptor			
CHEMBL218	P21554	Cannabinoid CB1 receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Cannabinoid receptor			
CHEMBL2096981	P21554	Cannabinoid receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Cannabinoid receptor			
CHEMBL3301387	P21554	Cannabinoid CB1 receptor/orexin receptor 1 complex	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Cannabinoid receptor			
CHEMBL2587	P21555	Neuropeptide Y receptor type 1	Rattus norvegicus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Neuropeptide Y receptor			
CHEMBL5136	P21556	Platelet activating factor receptor	Cavia porcellus	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	PAF receptor			
CHEMBL5596	P21567	Alpha-amylase	Saccharomycopsis fibuligera	Enzyme							
CHEMBL1075191	P21575	Dynamin-1	Rattus norvegicus	Enzyme							
CHEMBL2346489	P21583	Kit ligand	Homo sapiens	Unclassified protein							
CHEMBL1075214	P21588	5'-nucleotidase	Rattus norvegicus	Enzyme							
CHEMBL5957	P21589	5'-nucleotidase	Homo sapiens	Enzyme							
CHEMBL2686	P21643	Tryptophan 2,3-dioxygenase	Rattus norvegicus	Enzyme							
CHEMBL4286	P21673	Spermidine/spermine N(1)-acetyltransferase 1	Homo sapiens	Enzyme							
CHEMBL3217390	P21675	Transcription initiation factor TFIID subunit 1	Homo sapiens	Enzyme							
CHEMBL2285356	P21687	Lycopene cyclase	Pantoea ananas	Unclassified protein							
CHEMBL5809	P21708	Mitogen-activated protein kinase 3	Rattus norvegicus	Enzyme	Kinase	Protein Kinase	CMGC protein kinase group	CMGC protein kinase MAPK family	CMGC protein kinase ERK1		
CHEMBL2111356	P21708	Mitogen-activated protein kinase 1 and 3 (ERK2 and ERK1)	Rattus norvegicus	Enzyme	Kinase	Protein Kinase	CMGC protein kinase group	CMGC protein kinase MAPK family	CMGC protein kinase ERK1		
CHEMBL5810	P21709	Ephrin type-A receptor 1	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase Eph family			
CHEMBL2363043	P21709	Ephrin receptor	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase Eph family			
CHEMBL2056	P21728	Dopamine D1 receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Dopamine receptor			
CHEMBL2096905	P21728	Dopamine receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Dopamine receptor			
CHEMBL2111341	P21728	Dopamine D1 and D2 receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Monoamine receptor	Dopamine receptor			
CHEMBL3596	P21729	Gastrin releasing peptide receptor	Mus musculus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	GRP-related receptor			
CHEMBL2373	P21730	C5a anaphylatoxin chemotactic receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Anaphylatoxin receptor family	Anaphylatoxin receptor			
CHEMBL2069	P21731	Thromboxane A2 receptor	Homo sapiens	Membrane receptor	Family A G protein-coupled receptor	Small molecule receptor (family A GPCR)	Lipid-like ligand receptor (family A GPCR)	Prostanoid receptor			
CHEMBL1949490	P21741	Midkine	Homo sapiens	Unclassified protein							
CHEMBL5811	P21757	Macrophage scavenger receptor types I and II	Homo sapiens	Unclassified protein							
CHEMBL2467	P21761	Thyrotropin-releasing hormone receptor	Mus musculus	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Neuropeptide receptor			
CHEMBL3286071	P21781	Fibroblast growth factor 7	Homo sapiens	Secreted protein							
CHEMBL4142	P21802	Fibroblast growth factor receptor 2	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase FGFR family			
CHEMBL2095217	P21802	Fibroblast growth factor receptor	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase FGFR family			
CHEMBL2111434	P21802	VEGF-receptor 2 and Fibroblast growth factor receptor 2	Homo sapiens	Enzyme	Kinase	Protein Kinase	TK protein kinase group	Tyrosine protein kinase FGFR family			
