CHEMBL_ID_compound	canonical_smiles	CHEMBL_ID_protein	accession	L1	L2	L3	L4	L5	L6	L7	L8	year	binding_type	activity_id	pchembl_value	binding_binary	Subset
CHEMBL1209705	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C(=O)OC(C)(C)C)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383118	6.32	1	train
CHEMBL1209802	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6)c2cc1Cl)C(C)(C)N7CCC(F)(F)C7	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383136	8.62	1	train
CHEMBL1209801	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6)c2cc1Cl)C(C)(C)N7CC[C@H](O)C7	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383135	8.85	1	train
CHEMBL1209800	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6)c2cc1Cl)C(C)(C)N7CCCC7	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383134	8.8	1	train
CHEMBL1209799	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6)c2cc1Cl)C(C)(C)N7CCOCC7	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383133	9.0	1	train
CHEMBL1209798	CCNC(C)(C)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(Cl)c(C)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383132	8.64	1	train
CHEMBL1209797	CNC(C)(C)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(Cl)c(C)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383131	8.44	1	train
CHEMBL1209796	CN(C)C(C)(C)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(Cl)c(C)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383130	8.62	1	train
CHEMBL1209795	CC(=O)NC(C)(C)[C@@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(Cl)c(C)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383129	6.82	1	train
CHEMBL1209794	CC(=O)NC(C)(C)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(Cl)c(C)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383128	8.21	1	train
CHEMBL1208802	CC(C)(C#N)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(F)c(Cl)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383127	8.14	1	train
CHEMBL1209793	CC(C)(C#N)[C@H]1OC2(CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C5CCOCC5)c6cc(F)c(F)cc16	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383126	8.12	1	train
CHEMBL1209792	COCC(C)N1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC4(CC3)O[C@@H](c5cc(C)c(Cl)cc45)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383125	7.35	1	train
CHEMBL1209791	CCC(CC)N1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC4(CC3)O[C@@H](c5cc(C)c(Cl)cc45)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383124	7.92	1	train
CHEMBL1209790	CC(C)N1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC4(CC3)O[C@@H](c5cc(C)c(Cl)cc45)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383123	8.18	1	train
CHEMBL1209789	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(CC5CCOCC5)C[C@H]4c6ccc(F)cc6F)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383122	7.28	1	train
CHEMBL1209788	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383121	8.7	1	train
CHEMBL1209707	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C(C)(C)CO)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383120	8.55	1	train
CHEMBL1209706	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CNC[C@H]4c5ccc(F)cc5F)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383119	7.82	1	train
CHEMBL1209704	Cc1cc2[C@@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C(C)(C)C)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383117	7.5	1	train
CHEMBL1209787	Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C(C)(C)C)c2cc1Cl)C(C)(C)C#N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2010.0	allosteric	3383116	9.05	1	train
CHEMBL403421	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(cc4F)C(F)(F)F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171294	7.64	1	train
CHEMBL404696	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171306	7.15	1	train
CHEMBL254757	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(Cl)cc4Cl)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171305	8.48	1	train
CHEMBL254351	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(Cl)cc4Cl)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171304	7.75	1	train
CHEMBL403556	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4Cl)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171303	7.09	1	train
CHEMBL404905	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4Cl)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171302	6.67	1	train
CHEMBL254792	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(Cl)cc4F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171301	7.88	1	train
CHEMBL254589	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(Cl)cc4F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171300	8.21	1	train
CHEMBL402009	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(OC)cc4F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171297	7.43	1	train
CHEMBL257759	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(OC)cc4F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171296	7.95	1	train
CHEMBL256526	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(cc4F)C(F)(F)F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171295	8.01	1	train
CHEMBL402769	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(cc4)C(F)(F)F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171293	8.11	1	train
CHEMBL403834	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(cc4)C(F)(F)F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171292	7.55	1	train
CHEMBL257616	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@H]3CN(C[C@@H]3c4ccc5ccccc5c4)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171291	6.28	1	train
CHEMBL403420	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc5ccccc5c4)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171290	7.12	1	train
CHEMBL257615	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@H]3CN(C[C@@H]3c4cc(F)c(F)cc4F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171289	7.0	1	train
CHEMBL257770	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4cc(F)c(F)cc4F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171288	6.89	1	train
CHEMBL256286	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171285	6.19	1	train
CHEMBL255286	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(Br)cc4F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171299	8.39	1	train
CHEMBL429854	CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(Br)cc4F)C(C)(C)C	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2008.0	allosteric	2171298	8.4	1	train
CHEMBL412536	CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc3c[nH]cn3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc5c[nH]c6ccccc56)C(=O)NCC(=O)N[C@@H](CO)C(=O)N7CCC[C@H]7C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729149	9.38	0	test
CHEMBL3287357	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N2Cc3ccccc3CC2C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729118	6.96	0	test
CHEMBL3287356	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](Cc2ccc(cc2)[N+](=O)[O-])C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729117	7.68	0	test
CHEMBL3287355	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N2Cc3ccccc3CC2C(=O)N4Cc5ccccc5CC4C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729116	6.6	0	test
CHEMBL3287354	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N2Cc3ccccc3CC2C(=O)N[C@@H](Cc4ccc(I)cc4)C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729115	7.66	0	test
CHEMBL3287353	CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc2ccc(Cl)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N3Cc4ccccc4CC3C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729114	6.96	0	test
CHEMBL3287352	CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc2ccc(Cl)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](Cc3ccc(cc3)[N+](=O)[O-])C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729113	7.82	0	test
CHEMBL3287351	CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc2ccc(Cl)cc2)C(=O)N3Cc4ccccc4CC3C(=O)N5Cc6ccccc6CC5C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729112	6.8	0	test
CHEMBL3287350	CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc2ccc(Cl)cc2)C(=O)N3Cc4ccccc4CC3C(=O)N[C@@H](Cc5ccc(I)cc5)C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729111	7.82	0	test
CHEMBL3287349	CC(=O)N1Cc2ccccc2CC1C(=O)N[C@H](Cc3ccc(Cl)cc3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N4Cc5ccccc5CC4C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729110	6.02	0	test
CHEMBL3287348	CC(=O)N1Cc2ccccc2CC1C(=O)N[C@H](Cc3ccc(Cl)cc3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc4ccc(I)cc4)C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729109	8.59	0	test
CHEMBL3287347	CC(=O)N1Cc2ccccc2CC1C(=O)N[C@H](Cc3ccc(Cl)cc3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](Cc4ccc(cc4)[N+](=O)[O-])C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729108	7.4	0	test
CHEMBL3287346	CC(=O)N1Cc2ccccc2CC1C(=O)N[C@H](Cc3ccc(Cl)cc3)C(=O)N4Cc5ccccc5CC4C(=O)N6Cc7ccccc7CC6C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729107	6.19	0	test
CHEMBL3287345	CC(=O)N1Cc2ccccc2CC1C(=O)N[C@H](Cc3ccc(Cl)cc3)C(=O)N4Cc5ccccc5CC4C(=O)N[C@@H](Cc6ccc(I)cc6)C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729106	6.92	0	test
CHEMBL3287344	CC(=O)N1Cc2ccccc2CC1C(=O)N[C@H](Cc3ccc(Cl)cc3)C(=O)N4Cc5ccccc5CC4C(=O)N[C@H](Cc6ccc(cc6)[N+](=O)[O-])C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729105	8.02	0	test
CHEMBL3287343	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](Cc1ccc(I)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N2Cc3ccccc3CC2C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729104	7.24	0	test
CHEMBL3287342	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](Cc1ccc(I)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](Cc2ccc(cc2)[N+](=O)[O-])C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729103	8.18	0	test
CHEMBL405174	CC(=O)Nc1cc2ccccc2cc1C(=O)N[C@H](Cc3ccccc3)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729164	8.66	0	test
CHEMBL2103784	CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N6CCC[C@H]6C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N7CCC[C@H]7C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc8ccc(O)cc8)C(=O)N9CCC[C@H]9C(=O)O	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729151	9.19	0	test
CHEMBL3287339	CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc2ccc(I)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N3Cc4ccccc4CC3C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729100	7.05	0	test
CHEMBL3287338	CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc2ccc(I)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](Cc3ccc(cc3)[N+](=O)[O-])C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729099	8.44	0	test
CHEMBL3287337	CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc2ccc(I)cc2)C(=O)N3Cc4ccccc4CC3C(=O)N5Cc6ccccc6CC5C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729098	7.62	0	test
CHEMBL3287336	CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc2ccc(I)cc2)C(=O)N3Cc4ccccc4CC3C(=O)N[C@@H](Cc5ccc(I)cc5)C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729097	8.13	0	test
CHEMBL3287335	CC(=O)N1Cc2ccccc2CC1C(=O)N[C@H](Cc3ccc(I)cc3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N4Cc5ccccc5CC4C(=O)N	CHEMBL259	P32245	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Short peptide receptor (family A GPCR)	Melanocortin receptor				2014.0	orthosteric	14729096	6.55	0	test
